tag,anchor,PRF,channel,data rate,preamble,TXpower,PRR,Average distance error anchor,Stde distance error anchor,energy consumption,packet duration,Average RSP tag,Stde RSP tag,Average RSP anchor,Stde RSP anchor,Average LOS indication tag,Stde LOS indication tag,Average LOS indication anchor,Stde LOS indication anchor,Mean noise CIR tag,Mean noise CIR anchor,startindex,stopindex
1,2,64,3,110,1024,10.5,1.0,432.35773658772786,37.20241237147211,123.0,5.806457445862068,-91.35829365079366,0.7030396917884402,-91.45816904761904,0.29698649149072254,15.88043253968254,1.6404233413905158,15.695219047619048,1.4778724983416873,73.32539682539682,72.81904761904762,504.0,1007.0
1,2,64,3,110,4096,0.0,,,,,,,,,,,,,,,,,
1,2,64,3,110,4096,10.5,1.0,428.79226039725165,31.465381632055685,123.0,8.932616805862068,-90.14746428571429,0.7276041314353534,-90.56728095238095,0.5389259823328786,16.07965873015873,1.658246476954851,15.663061904761902,1.6294883792222117,95.23015873015873,99.15238095238095,1008.0,1511.0
1,2,64,3,6800,128,0.0,,,,,,,,,,,,,,,,,
1,2,64,3,6800,128,10.5,0.9758064516129032,1096.4283908656992,277.15830223963343,135.0,0.23067267172413794,-94.57043292682927,0.9406522532157172,-94.57124939467312,0.8491973384850936,7.110349593495935,2.1747850383601572,7.206605326876512,2.177618209128689,19.252032520325205,20.677966101694917,1512.0,2003.0
1,2,64,3,6800,1024,0.0,,,,,,,,,,,,,,,,,
1,2,64,3,6800,1024,10.5,0.9657258064516129,426.69650789872134,35.949909764124634,135.0,1.1424691517241379,-90.3377160493827,0.5695964909519481,-90.45186764705882,0.4275740229401475,16.16800205761317,1.5171116976309098,16.061938725490194,1.5719419135351638,71.20987654320987,70.32352941176471,2004.0,2489.0
1,2,64,3,6800,4096,0.0,,,,,,,,,,,,,,,,,
1,2,64,3,6800,4096,10.5,0.9960159362549801,423.50033234858705,29.42304201128097,135.0,4.268628511724137,-90.4274750499002,0.5515763499972121,-90.45229594272077,0.41882400668062936,16.160928143712574,1.5001399904096773,16.079809069212413,1.4612383330075098,97.02994011976048,98.34844868735084,2490.0,2990.0
1,2,64,5,110,128,0.0,,,,,,,,,,,,,,,,,
1,2,64,5,110,128,18.0,,,,,,,,,,,,,,,,,
1,2,64,5,110,1024,0.0,,,,,,,,,,,,,,,,,
